# SPDX-License-Identifier: CC-BY-4.0

year,title,authors,venue,type,link_pdf,link_doi,link_arxiv,tags,notes
2025,A Comparative Evaluation of GenAI-Assisted Tactile Graphics from the Perspective of Totally Blind Professionals in Tactile Graphic Supervision,"Kengo Tanaka; Ayaka Tsutsui; Yoichi Ochiai","ASSETS '25: The 27th International ACM SIGACCESS Conference on Computers and Accessibility",conference,https://dl.acm.org/doi/10.1145/3663547.3759740,https://doi.org/10.1145/3663547.3759740,,gan; tactile-graphic; user-study; blv-eval, Evaluates GenAI-assisted tactile graphics for picture books; highlights human-in-loop refinement.
2025,TexSenseGAN: A User-Guided System for Optimizing Texture-Related Vibrotactile Feedback Using GAN,"Zhang, Mingxin; Terui, Shun; Makino, Yasutoshi; Shinoda, Hiroyuki",IEEE Transactions on Haptics,journal,https://arxiv.org/pdf/2407.11467.pdf,,https://arxiv.org/abs/2407.11467,gan; vibrotactile; user-study,User-guided GAN for optimizing texture-related vibrotactile feedback; no BLV-specific validation reported.
2025,TactileNet: Bridging the Accessibility Gap with AI-Generated Tactile Graphics for Individuals with Vision Impairment,"Khan, Adnan; Choubineh, Alireza; Shaaban, Mai A.; Akkasi, Abbas; Komeili, Majid",arXiv,preprint,https://arxiv.org/pdf/2504.04722.pdf,,https://arxiv.org/abs/2504.04722,diffusion; tactile-graphic; accessibility-tool; dataset; prototype,Stable Diffusion–based framework using LoRA and DreamBooth to generate embossing-ready tactile graphics with high structural fidelity.
2025,Text-Guided Image-to-Image Translation for Converting RGB Maps to Tactile Images,"Choubineh, Alireza",Carleton University (PhD Thesis),thesis,https://carleton.scholaris.ca/items/028aa7a2-8080-4a53-ba5f-bbd543d4f170,https://doi.org/10.22215/etd/2025-16415,,diffusion; tactile-map; translation; dataset,Text-guided image-to-image translation generates tactile maps from RGB inputs; builds dataset of 9.8k triplets.
2025,AI-generated tactile graphics for visually impaired children: A usability study of a multimodal educational product,"Wu, Hantian; Yang, Hongyi; Chang, Fangyuan; Zhu, Dian; Liu, Zhao",International Journal of Human-Computer Studies,journal,https://www.sciencedirect.com/science/article/pii/S1071581925000825,https://doi.org/10.1016/j.ijhcs.2025.103525,,diffusion; tactile-graphic; accessibility-tool; education; user-study,Multimodal LLM and DALL·E-based tool generating tactile graphics and audio for blind children; evaluated with 19 users.
2024,A Step Towards Automated and Generalizable Tactile Map Generation Using Generative Adversarial Networks,"Hobson, David G.; Komeili, Majid",arXiv,preprint,https://arxiv.org/pdf/2412.07191,,https://arxiv.org/abs/2412.07191,gan; tactile-map; dataset; accessibility-tool,Introduces tactile map dataset of 6.5k Google Maps samples and GANs for automatic map element extraction and inpainting.
2024,AltCanvas: A Tile-Based Image Editor with Generative AI for Blind or Visually Impaired People,"Lee, Seonghee; Kohga, Maho; Landau, Steve; O'Modhrain, Sile; Subramonyam, Hari",ACM ASSETS 2024: The 26th International ACM SIGACCESS Conference on Computers and Accessibility,conference,https://dl.acm.org/doi/pdf/10.1145/3663548.3675600,https://doi.org/10.1145/3663548.3675600,,diffusion; tactile-graphic; accessibility-tool; blv-eval; user-study,Tile-based editor allowing blind users to create and edit visual scenes via generative AI with audio feedback.
2024,Artificial Intelligence-Driven Text-to-Tactile Graphics Generation for Visual Impaired People,"Dzhurynskyi, Yehor; Mayik, Volodymyr; Mayik, Lyudmyla",ProfIT AI 2024 (Proceedings),conference,https://ceur-ws.org/Vol-3777/short4.pdf,,,transformer; tactile-graphic; accessibility-tool; education,Transformer-based text-to-tactile synthesis for educational accessibility.
2023,Text to haptics: method and case studies of designing tactile graphics for inclusive tactile picture books by digital fabrication and generative AI,"Tanaka, Kengo; Fushimi, Tatsuki; Tsutsui, Ayaka; Ochiai, Yoichi",ACM SIGGRAPH 2023 Labs,conference,https://dl.acm.org/doi/10.1145/3588029.3595471,https://doi.org/10.1145/3588029.3595471,,diffusion; tactile-graphic; accessibility-standard; education,Diffusion-based tactile picture book overlays integrating generative AI and 3D printing.
2021,Visual-Tactile Cross-Modal Data Generation Using Residue-Fusion GAN with Feature-Matching and Perceptual Losses,"Cai, Shaoyu; Zhu, Kening; Ban, Yuki; Narumi, Takuji",IEEE Robotics and Automation Letters,journal,https://ieeexplore.ieee.org/document/9479777/,https://doi.org/10.1109/LRA.2021.3095925,https://arxiv.org/abs/2107.05468,gan; vibrotactile; texture-generation; user-study,GAN-based cross-modal synthesis between visual textures and vibrotactile feedback.
2019,Generating Vibrotactile Patterns from Texture Images Using Conditional GANs,"Ujitoko, Yuki; Ban, Yoshinori",International Conference on Human Haptic Sensing and Touch Enabled Computer Applications (EuroHaptics),conference,https://link.springer.com/chapter/10.1007/978-3-319-93399-3_3,https://doi.org/10.1007/978-3-319-93399-3_3,https://arxiv.org/abs/1902.07480,gan; vibrotactile; user-study,Early conditional GAN generating vibrotactile signals from texture images or attributes.
